model,is_reasoning,max_tokens,input_tokens_actual,output_tokens_actual,think_tokens,answer_tokens,hit_budget,has_code,syntax_ok,passes_tests,prefill_tokens_per_sec,decode_tokens_per_sec,cpu_freq_khz,timestamp,run,energy_joules,wall_seconds,run_ok
llama-1b,0,1024,13,433,0,433,0,1,1,1,148.0,19.2,4660558,2026-09-17T12:49:45+08:00,1,660.8138,25.201315286,1
llama-1b,0,1024,13,424,0,424,0,1,1,1,147.8,19.0,4701735,2026-09-17T12:50:19+08:00,2,541.8180,24.213038440,1
llama-1b,0,1024,13,399,0,399,0,1,1,1,147.6,19.0,4746928,2026-09-17T12:50:52+08:00,3,513.3155,23.208968364,1
llama-1b,0,1024,13,399,0,399,0,1,1,1,147.6,19.0,4678279,2026-09-17T12:51:24+08:00,4,514.5213,23.205905786,1
llama-1b,0,1024,13,432,0,432,0,1,1,1,147.9,19.0,4674621,2026-09-17T12:51:56+08:00,5,547.2730,25.224012104,1
