model,run,elapsed_s,energy_uj,cpu_freq_khz
llama-1b,1,.000837034,96223311712,2035517
llama-1b,1,1.006759762,96240363548,400000
llama-1b,1,2.013053380,96265262654,4099079
llama-1b,1,3.020328302,96288721517,4100000
llama-1b,1,4.027806118,96312401938,3057696
llama-1b,1,5.034661931,96335952781,4101223
llama-1b,1,6.041451143,96360379476,4100000
llama-1b,1,7.048271130,96384401265,400000
llama-1b,1,8.055379778,96407391196,4194924
llama-1b,1,9.062191543,96430360681,400000
llama-1b,1,10.069325713,96454402917,4100000
llama-1b,1,11.076540717,96479266867,4099953
llama-1b,1,12.082980576,96504839250,4100045
llama-1b,1,13.089219421,96529828017,4099451
llama-1b,1,14.095950735,96555174571,4601686
llama-1b,1,15.102294216,96580162971,4600000
llama-1b,1,16.108545048,96603742806,4102115
llama-1b,1,17.115231054,96627403084,4100000
llama-1b,1,18.121748745,96651355843,4097612
llama-1b,1,19.128252302,96675137154,4100000
llama-1b,1,20.135494189,96698472421,4100000
llama-1b,1,21.142761684,96721690135,4100000
llama-1b,1,22.149424101,96744825574,4100000
llama-1b,1,23.156169364,96768549940,4100000
llama-1b,1,24.163053507,96792073317,4100043
llama-1b,2,.000872114,96840744457,400000
llama-1b,2,1.006816677,96858054044,400114
llama-1b,2,2.013507993,96883020228,4100000
llama-1b,2,3.020497985,96907544884,4100000
llama-1b,2,4.027485893,96931472069,4100000
llama-1b,2,5.034395900,96955066552,400000
llama-1b,2,6.041341356,96980016562,400000
llama-1b,2,7.048503053,97004437825,3334370
llama-1b,2,8.055513430,97027751486,4099486
llama-1b,2,9.062539803,97052235493,4100000
llama-1b,2,10.069173513,97075533834,4102543
llama-1b,2,11.076200558,97098868735,400000
llama-1b,2,12.083489939,97122567832,4100000
llama-1b,2,13.090409502,97146910055,4100000
llama-1b,2,14.097576430,97171687519,4100000
llama-1b,2,15.103990416,97196078386,4606570
llama-1b,3,.000833407,97229964591,400000
llama-1b,3,1.006988473,97247269601,772379
llama-1b,3,2.013746557,97272822819,4100000
llama-1b,3,3.020859262,97297838807,4699952
llama-1b,3,4.028272937,97322069641,4100152
llama-1b,3,5.035609295,97346573729,4099510
llama-1b,3,6.043011184,97370639097,4099213
llama-1b,3,7.050589667,97394264830,4100000
llama-1b,3,8.057560542,97417919859,1157775
llama-1b,3,9.064128763,97441342834,3393241
llama-1b,3,10.070604523,97464586549,4100000
llama-1b,3,11.077636076,97487735965,4098743
llama-1b,3,12.084852401,97510863469,4099577
llama-1b,3,13.092032591,97534099433,400000
llama-1b,3,14.098832870,97557588264,4100000
llama-1b,3,15.106084114,97580921700,4105256
llama-1b,3,16.112942012,97604226389,400000
llama-1b,3,17.120038783,97627798045,4100046
llama-1b,3,18.127018520,97651560558,4100000
llama-1b,3,19.134253825,97675300792,4099956
llama-1b,3,20.141599545,97699178051,4021828
llama-1b,3,21.148948020,97722986095,400000
llama-1b,4,.000895334,97773431217,400000
llama-1b,4,1.006773585,97790665609,400000
llama-1b,4,2.013821119,97815449481,4100000
llama-1b,4,3.021054897,97838808247,4091598
llama-1b,4,4.027989457,97862253073,3852340
llama-1b,4,5.035037127,97886149252,400000
llama-1b,4,6.042262852,97910986102,4100000
llama-1b,4,7.049929781,97934522541,829577
llama-1b,4,8.057376005,97957937520,4100000
llama-1b,4,9.064705219,97981714864,2969216
llama-1b,4,10.072245072,98006286029,400000
llama-1b,4,11.079699512,98030331561,3235533
llama-1b,4,12.086710374,98054421160,4100000
llama-1b,4,13.093873257,98078941422,4100000
llama-1b,4,14.100992643,98103490614,4100000
llama-1b,4,15.108475191,98128175060,4001735
llama-1b,4,16.115282138,98152447764,3766075
llama-1b,4,17.122001997,98176429270,400000
llama-1b,4,18.129360979,98200691476,1047295
llama-1b,5,.000838352,98234533247,400000
llama-1b,5,1.006821107,98252618650,400000
llama-1b,5,2.014949744,98277810786,4100044
llama-1b,5,3.022074699,98302915214,4100000
llama-1b,5,4.029169693,98327826893,4100000
llama-1b,5,5.036939061,98352671373,4100043
llama-1b,5,6.043935831,98376557115,4099953
llama-1b,5,7.051167319,98400379930,4100000
llama-1b,5,8.058428180,98424584763,4100000
llama-1b,5,9.065627112,98448692001,4100048
llama-1b,5,10.072901511,98471814256,4100000
llama-1b,5,11.079910001,98494908313,4101149
llama-1b,5,12.087404752,98518005056,4100393
llama-1b,5,13.094570628,98542411671,400000
llama-1b,5,14.102602311,98566478382,4100095
llama-1b,5,15.110307029,98589937123,4104943
llama-1b,5,16.117275776,98614362292,4311094
llama-1b,5,17.124633016,98639320846,4100000
llama-1b,5,18.131809282,98663678267,4070175
llama-1b,5,19.139183877,98687242538,400000
llama-1b,5,20.146475132,98711327010,4100000
