model,sweep_type,input_tokens_requested,output_tokens_requested,input_tokens_actual,output_tokens_actual,prefill_tokens_per_sec,decode_tokens_per_sec,cpu_freq_khz,timestamp,run,energy_joules,wall_seconds,run_ok
llama-1b,output_sweep,512,8,422,8,143.2,18.5,400000,2026-09-17T13:16:07+08:00,3,171.3335,6.045730783,1
llama-1b,output_sweep,512,8,422,8,146.8,18.6,4722267,2026-09-17T13:16:21+08:00,4,176.0323,6.045716083,1
llama-1b,output_sweep,512,8,422,8,144.5,18.5,400000,2026-09-17T13:16:36+08:00,5,174.4246,5.037919293,1
llama-1b,output_sweep,512,16,422,16,140.1,18.4,400000,2026-09-17T13:16:49+08:00,1,176.6228,6.050984698,1
llama-1b,output_sweep,512,16,422,16,144.0,18.4,4636057,2026-09-17T13:17:04+08:00,2,179.2586,6.049722259,1
llama-1b,output_sweep,512,16,422,16,142.0,18.4,4609102,2026-09-17T13:17:18+08:00,3,177.4526,6.049756432,1
llama-1b,output_sweep,512,16,422,16,142.4,18.5,4316818,2026-09-17T13:17:33+08:00,4,178.0652,6.049013856,1
llama-1b,output_sweep,512,16,422,16,144.9,18.5,400000,2026-09-17T13:17:47+08:00,5,179.3822,6.048397747,1
llama-1b,output_sweep,512,32,422,32,142.7,18.5,400000,2026-09-17T13:18:02+08:00,1,190.8934,7.060522418,1
llama-1b,output_sweep,512,32,422,32,145.5,18.5,400000,2026-09-17T13:18:17+08:00,2,192.6432,7.059912985,1
llama-1b,output_sweep,512,32,422,32,143.2,18.3,400000,2026-09-17T13:18:33+08:00,3,192.4972,7.063315743,1
llama-1b,output_sweep,512,32,422,32,143.8,18.5,400000,2026-09-17T13:18:48+08:00,4,192.4307,7.059301905,1
llama-1b,output_sweep,512,32,422,32,145.9,18.5,4384482,2026-09-17T13:19:03+08:00,5,194.2079,7.059951728,1
llama-1b,output_sweep,512,64,422,64,141.7,18.4,4453895,2026-09-17T13:19:19+08:00,1,215.6693,8.072002981,1
llama-1b,output_sweep,512,64,422,64,143.5,18.5,4761612,2026-09-17T13:19:36+08:00,2,216.0671,9.079551508,1
llama-1b,output_sweep,512,64,422,64,145.3,17.9,4263445,2026-09-17T13:19:53+08:00,3,220.2645,8.074375964,1
llama-1b,output_sweep,512,64,422,64,142.1,18.5,400000,2026-09-17T13:20:10+08:00,4,215.5879,9.079718465,1
llama-1b,output_sweep,512,64,422,64,145.3,18.5,4198760,2026-09-17T13:20:27+08:00,5,218.1146,8.072971104,1
llama-1b,output_sweep,512,128,422,128,143.1,18.2,4493854,2026-09-17T13:20:44+08:00,1,268.1528,12.115332540,1
llama-1b,output_sweep,512,128,422,128,141.5,18.2,4646125,2026-09-17T13:21:04+08:00,2,268.4377,12.115831168,1
llama-1b,output_sweep,512,128,422,128,142.0,18.2,4735617,2026-09-17T13:21:25+08:00,3,269.3916,12.117889237,1
llama-1b,output_sweep,512,128,422,128,145.0,18.2,400000,2026-09-17T13:21:45+08:00,4,269.7018,12.115532845,1
llama-1b,output_sweep,512,128,422,128,143.2,18.2,400000,2026-09-17T13:22:06+08:00,5,268.5651,12.117588615,1
llama-1b,output_sweep,512,256,422,256,144.0,18.0,400000,2026-09-17T13:22:27+08:00,1,375.3753,19.191378268,1
llama-1b,output_sweep,512,256,422,256,142.7,18.0,400000,2026-09-17T13:22:54+08:00,2,374.7199,19.193360473,1
llama-1b,output_sweep,512,256,422,256,143.7,18.0,400000,2026-09-17T13:23:22+08:00,3,375.3277,19.198200232,1
llama-1b,output_sweep,512,256,422,256,144.6,18.0,400000,2026-09-17T13:23:49+08:00,4,376.6667,19.192164204,1
llama-1b,output_sweep,512,256,422,256,144.5,18.0,4697264,2026-09-17T13:24:17+08:00,5,375.5089,19.191610652,1
llama-1b,output_sweep,512,384,422,384,144.7,17.8,4614233,2026-09-17T13:24:45+08:00,1,484.9678,26.273272947,1
llama-1b,output_sweep,512,384,422,347,142.2,17.9,400000,2026-09-17T13:25:20+08:00,2,452.2773,24.246031426,1
llama-1b,output_sweep,512,384,422,384,145.4,17.8,4592676,2026-09-17T13:25:52+08:00,3,484.7397,26.268258368,1
llama-1b,output_sweep,512,384,422,337,143.1,17.9,4615708,2026-09-17T13:26:27+08:00,4,443.9793,24.250630243,1
llama-1b,output_sweep,512,384,422,384,145.6,17.8,4625901,2026-09-17T13:26:59+08:00,5,487.4926,26.267433344,1
llama-1b,output_sweep,512,512,422,307,144.5,18.0,4563336,2026-09-17T13:27:34+08:00,1,419.3727,22.225313101,1
llama-1b,output_sweep,512,512,422,291,142.7,18.0,4726876,2026-09-17T13:28:05+08:00,2,405.2366,21.214232694,1
llama-1b,output_sweep,512,512,422,365,145.4,17.9,400000,2026-09-17T13:28:35+08:00,3,469.2673,25.256525858,1
llama-1b,output_sweep,512,512,422,425,145.0,17.8,4641179,2026-09-17T13:29:08+08:00,4,521.6643,29.303130369,1
llama-1b,output_sweep,512,512,422,416,146.0,17.8,4654957,2026-09-17T13:29:46+08:00,5,516.5197,28.293514924,1
