model,strategy,output_budget,input_tokens_actual,output_tokens_actual,think_tokens,answer_tokens,hit_budget,contains_return,has_code,syntax_ok,passes_tests,prefill_tokens_per_sec,decode_tokens_per_sec,cpu_freq_khz,timestamp,run,energy_joules,wall_seconds,run_ok,has_code_v2,syntax_ok_v2,passes_tests_v2
llama-1b,greedy,256,422,256,0,255,1,1,1,0,0,116.1,25.7,962590,2026-09-17T07:04:14+08:00,1,364.2850,15.103913774,1,1,1,1
llama-1b,greedy,256,422,256,0,255,1,1,1,0,0,118.5,25.1,400000,2026-09-17T07:04:38+08:00,2,368.0686,16.113659855,1,1,1,1
llama-1b,greedy,256,422,256,0,255,1,1,1,0,0,118.3,25.0,400000,2026-09-17T07:05:03+08:00,3,369.4711,16.115242058,1,1,1,1
llama-1b,greedy,256,422,256,0,255,1,1,1,0,0,118.5,23.9,1287708,2026-09-17T07:05:28+08:00,4,383.6973,16.113633214,1,1,1,1
llama-1b,greedy,256,422,256,0,255,1,1,1,0,0,114.8,24.7,400000,2026-09-17T07:05:52+08:00,5,373.6014,16.114242896,1,1,1,1
llama-1b,temperature,256,422,256,0,256,1,1,1,0,0,117.1,24.6,1831074,2026-09-17T07:06:17+08:00,1,373.1240,16.114194260,1,1,1,1
llama-1b,temperature,256,422,256,0,256,1,0,1,1,1,116.7,24.0,3788521,2026-09-17T07:06:42+08:00,2,422.0635,16.111846510,1,1,1,1
llama-1b,temperature,256,422,256,0,256,1,1,1,1,1,118.0,24.7,400000,2026-09-17T07:07:07+08:00,3,367.4245,16.115721897,1,1,1,1
llama-1b,temperature,256,422,256,0,256,1,0,1,0,0,118.6,24.5,2413818,2026-09-17T07:07:31+08:00,4,369.1231,16.116223665,1,1,1,1
llama-1b,temperature,256,422,256,0,256,1,1,1,0,0,108.3,24.6,400000,2026-09-17T07:07:56+08:00,5,379.1009,16.115376417,1,1,1,1
llama-1b,top_p,256,422,255,0,255,1,1,1,1,1,115.0,24.5,400000,2026-09-17T07:08:21+08:00,1,371.3917,16.117920043,1,1,1,1
llama-1b,top_p,256,422,256,0,256,1,1,1,0,0,117.4,24.8,400000,2026-09-17T07:08:46+08:00,2,369.9975,16.116840068,1,1,1,1
llama-1b,top_p,256,422,256,0,256,1,0,1,1,1,117.6,24.9,400000,2026-09-17T07:09:11+08:00,3,368.1913,16.114806778,1,1,1,1
llama-1b,top_p,256,422,256,0,256,1,1,1,1,1,117.4,25.4,400000,2026-09-17T07:09:35+08:00,4,364.6174,15.109862416,1,1,1,1
llama-1b,top_p,256,422,256,0,256,1,1,1,0,0,116.0,24.7,400000,2026-09-17T07:09:59+08:00,5,377.2487,16.116011857,1,1,1,1
llama-1b,top_k,256,422,256,0,256,1,1,1,1,1,115.3,25.3,400000,2026-09-17T07:10:24+08:00,1,368.5588,16.115794255,1,1,1,1
llama-1b,top_k,256,422,256,0,256,1,1,1,1,1,117.0,24.9,400000,2026-09-17T07:10:49+08:00,2,371.6624,16.115274161,1,1,1,1
llama-1b,top_k,256,422,255,0,255,1,1,1,1,1,116.0,26.0,400000,2026-09-17T07:11:14+08:00,3,364.0262,15.110367344,1,1,1,1
llama-1b,top_k,256,422,256,0,256,1,0,1,1,0,118.3,25.1,400000,2026-09-17T07:11:37+08:00,4,369.4202,16.116213325,1,1,1,0
llama-1b,top_k,256,422,256,0,256,1,1,1,0,0,115.0,25.8,400000,2026-09-17T07:12:02+08:00,5,364.4463,15.107897761,1,1,1,1
llama-3b,greedy,256,422,256,0,256,1,1,1,0,0,40.2,8.7,400000,2026-09-17T09:15:54+08:00,1,864.0828,43.335524021,1,1,1,1
llama-3b,greedy,256,422,256,0,256,1,1,1,0,0,40.7,8.5,400000,2026-09-17T09:16:46+08:00,2,838.2815,43.354940180,1,1,1,1
llama-3b,greedy,256,422,256,0,256,1,1,1,0,0,40.8,8.3,400000,2026-09-17T09:17:38+08:00,3,841.4908,44.366544204,1,1,1,1
llama-3b,greedy,256,422,256,0,256,1,1,1,0,0,40.7,8.2,400000,2026-09-17T09:18:31+08:00,4,845.4413,44.365437028,1,1,1,1
llama-3b,greedy,256,422,256,0,256,1,1,1,0,0,40.0,8.2,400000,2026-09-17T09:19:24+08:00,5,836.8921,44.370434491,1,1,1,1
llama-3b,temperature,256,422,256,0,255,1,1,1,0,0,40.6,8.3,400000,2026-09-17T09:20:17+08:00,1,833.1965,44.369064945,1,1,1,1
llama-3b,temperature,256,422,256,0,256,1,1,1,1,1,40.2,8.2,400000,2026-09-17T09:21:10+08:00,2,819.8143,45.386629660,1,1,1,1
llama-3b,temperature,256,422,256,0,256,1,1,1,1,1,40.5,8.2,400000,2026-09-17T09:22:04+08:00,3,845.5659,45.380865810,1,1,1,1
