model,strategy,run,elapsed_s,energy_uj,cpu_freq_khz
llama-1b,greedy,1,.000847009,94799426990,1161515
llama-1b,greedy,1,1.007429380,94817299747,987410
llama-1b,greedy,1,2.014266738,94845055474,400000
llama-1b,greedy,1,3.021032827,94873217756,400000
llama-1b,greedy,1,4.028077672,94901325533,400000
llama-1b,greedy,1,5.034622158,94928763329,400000
llama-1b,greedy,1,6.041699219,94952879234,4100000
llama-1b,greedy,1,7.048616846,94977126853,4100041
llama-1b,greedy,1,8.055923445,95001033224,4100000
llama-1b,greedy,1,9.062629927,95024449546,4100000
llama-1b,greedy,1,10.069986066,95048044518,4100000
llama-1b,greedy,1,11.076974643,95072986470,4100000
llama-1b,greedy,1,12.084149372,95097219196,4216543
llama-1b,greedy,1,13.090960033,95121420856,4100000
llama-1b,greedy,1,14.098057375,95145950639,4100000
