model,strategy,run,elapsed_s,energy_uj,cpu_freq_khz
qwen-coder-1.5b,greedy,5,3.020449374,225267482700,400000
qwen-coder-1.5b,greedy,5,4.027547411,225295492211,400000
qwen-coder-1.5b,greedy,5,5.034563222,225323479505,400000
qwen-coder-1.5b,greedy,5,6.041036535,225351820986,4101579
qwen-coder-1.5b,greedy,5,7.047576417,225376175476,400000
qwen-coder-1.5b,greedy,5,8.054863074,225399870972,400000
qwen-coder-1.5b,greedy,5,9.062487358,225418165847,400000
qwen-coder-1.5b,greedy,5,10.072068647,225432573220,3400034
qwen-coder-1.5b,greedy,5,11.081939106,225447035952,3400034
qwen-coder-1.5b,greedy,5,12.091619338,225461692103,3339690
qwen-coder-1.5b,greedy,5,13.100916618,225476451831,3400000
qwen-coder-1.5b,greedy,5,14.110525127,225491227184,3399965
qwen-coder-1.5b,greedy,5,15.119940425,225505921543,3400000
qwen-coder-1.5b,greedy,5,16.129318933,225520786923,3334488
qwen-coder-1.5b,greedy,5,17.138694528,225535527180,3400000
qwen-coder-1.5b,greedy,5,18.148067025,225550545086,3400000
qwen-coder-1.5b,greedy,5,19.157483317,225565377141,400000
qwen-coder-1.5b,temperature,1,.000882390,225621158004,400000
qwen-coder-1.5b,temperature,1,1.007251488,225639077880,400000
qwen-coder-1.5b,temperature,1,2.014194583,225666527516,3676786
qwen-coder-1.5b,temperature,1,3.021015692,225694444742,400000
qwen-coder-1.5b,temperature,1,4.027977863,225722607756,4100000
qwen-coder-1.5b,temperature,1,5.034653355,225750986895,4587939
qwen-coder-1.5b,temperature,1,6.041371878,225779023017,4100000
qwen-coder-1.5b,temperature,1,7.048584616,225801155773,400000
qwen-coder-1.5b,temperature,1,8.057834625,225815771702,3400000
qwen-coder-1.5b,temperature,1,9.067569962,225830366086,3400040
qwen-coder-1.5b,temperature,1,10.077120971,225844846579,3400000
qwen-coder-1.5b,temperature,1,11.086303356,225859448348,3400038
qwen-coder-1.5b,temperature,1,12.095463344,225874087654,3493320
qwen-coder-1.5b,temperature,1,13.104638190,225888949554,3400824
qwen-coder-1.5b,temperature,1,14.114177568,225903718987,3400480
qwen-coder-1.5b,temperature,1,15.123385602,225918563614,3500042
qwen-coder-1.5b,temperature,1,16.132143121,225933440285,400000
qwen-coder-1.5b,temperature,1,17.141227187,225948290406,400000
qwen-coder-1.5b,temperature,1,18.150687100,225963327477,3320102
qwen-coder-1.5b,temperature,1,19.160246860,225978179489,400000
qwen-coder-1.5b,temperature,1,20.169162390,225993043587,3203273
qwen-coder-1.5b,temperature,2,.000839467,226032691984,400000
qwen-coder-1.5b,temperature,2,1.006825773,226050430403,400000
qwen-coder-1.5b,temperature,2,2.014118573,226077827916,4099958
qwen-coder-1.5b,temperature,2,3.020699033,226105870447,4124668
qwen-coder-1.5b,temperature,2,4.027280569,226133466140,4100000
qwen-coder-1.5b,temperature,2,5.033696113,226161850833,4100000
qwen-coder-1.5b,temperature,2,6.040200402,226189729973,4100000
qwen-coder-1.5b,temperature,2,7.046783754,226214073600,400000
qwen-coder-1.5b,temperature,2,8.054485643,226237883109,400000
qwen-coder-1.5b,temperature,2,9.062718512,226253558850,400000
qwen-coder-1.5b,temperature,2,10.072538650,226268013220,400000
qwen-coder-1.5b,temperature,2,11.082107127,226282424926,3500000
qwen-coder-1.5b,temperature,2,12.091134407,226297120018,3405059
qwen-coder-1.5b,temperature,2,13.100155328,226311812180,400000
qwen-coder-1.5b,temperature,2,14.109786992,226326552865,3498919
qwen-coder-1.5b,temperature,2,15.118988643,226341360383,3400000
qwen-coder-1.5b,temperature,2,16.129027321,226356215143,3402607
qwen-coder-1.5b,temperature,2,17.138519306,226371075029,400000
qwen-coder-1.5b,temperature,2,18.147722400,226386036905,400000
qwen-coder-1.5b,temperature,2,19.157175119,226400919313,1139499
qwen-coder-1.5b,temperature,2,20.165606843,226415507716,1831224
qwen-coder-1.5b,temperature,3,.000837311,226449220276,614815
qwen-coder-1.5b,temperature,3,1.006713925,226466907364,1938045
qwen-coder-1.5b,temperature,3,2.013892848,226494417670,400000
qwen-coder-1.5b,temperature,3,3.020606517,226522459041,4100000
qwen-coder-1.5b,temperature,3,4.027439860,226550501022,4100000
qwen-coder-1.5b,temperature,3,5.034537532,226578092932,400000
qwen-coder-1.5b,temperature,3,6.041202034,226605281644,400000
qwen-coder-1.5b,temperature,3,7.047887221,226629614406,3942923
qwen-coder-1.5b,temperature,3,8.055211685,226653383755,4100000
qwen-coder-1.5b,temperature,3,9.062550609,226673694860,3187528
qwen-coder-1.5b,temperature,3,10.071761901,226688077819,3400040
qwen-coder-1.5b,temperature,3,11.080994410,226702549156,3400000
qwen-coder-1.5b,temperature,3,12.090073655,226717172715,3500000
qwen-coder-1.5b,temperature,3,13.099306350,226731821969,3400000
qwen-coder-1.5b,temperature,3,14.109123076,226746617586,400000
qwen-coder-1.5b,temperature,3,15.118418692,226761378534,3500039
qwen-coder-1.5b,temperature,3,16.127440574,226776250567,3400034
qwen-coder-1.5b,temperature,3,17.137210465,226791063334,400000
qwen-coder-1.5b,temperature,3,18.146903201,226805961672,3400240
qwen-coder-1.5b,temperature,3,19.156606246,226820886255,3433381
qwen-coder-1.5b,temperature,3,20.165948991,226835791979,3500039
qwen-coder-1.5b,temperature,4,.000848647,226873287366,400000
qwen-coder-1.5b,temperature,4,1.006874877,226891062895,400000
qwen-coder-1.5b,temperature,4,2.014245209,226918373616,4100000
qwen-coder-1.5b,temperature,4,3.020979777,226946216318,4100041
qwen-coder-1.5b,temperature,4,4.027668628,226973986022,4084351
qwen-coder-1.5b,temperature,4,5.034348740,227002126148,400000
qwen-coder-1.5b,temperature,4,6.041296434,227030096779,400000
qwen-coder-1.5b,temperature,4,7.048415195,227054059182,4042869
qwen-coder-1.5b,temperature,4,8.055534862,227077627297,400000
qwen-coder-1.5b,temperature,4,9.062918830,227095244867,3400037
qwen-coder-1.5b,temperature,4,10.072841136,227109575153,3499968
qwen-coder-1.5b,temperature,4,11.082093079,227124217144,400000
qwen-coder-1.5b,temperature,4,12.091967463,227138736394,3500000
qwen-coder-1.5b,temperature,4,13.101178458,227153538724,3336340
qwen-coder-1.5b,temperature,4,14.110912932,227168268179,3499964
qwen-coder-1.5b,temperature,4,15.120476247,227183115248,3217013
qwen-coder-1.5b,temperature,4,16.130004562,227197907080,3129467
qwen-coder-1.5b,temperature,4,17.139831867,227212777769,3500000
qwen-coder-1.5b,temperature,4,18.149065792,227227636191,3500000
qwen-coder-1.5b,temperature,4,19.158094956,227242551192,3249395
qwen-coder-1.5b,temperature,4,20.167001105,227257579962,1806027
qwen-coder-1.5b,temperature,5,.000858347,227292466408,480477
qwen-coder-1.5b,temperature,5,1.007389759,227310439079,400000
qwen-coder-1.5b,temperature,5,2.014500994,227338123762,400000
qwen-coder-1.5b,temperature,5,3.020926808,227366263399,4099958
qwen-coder-1.5b,temperature,5,4.027642495,227394318870,4100000
qwen-coder-1.5b,temperature,5,5.034386673,227422219250,4100000
qwen-coder-1.5b,temperature,5,6.041717457,227450405457,4100000
qwen-coder-1.5b,temperature,5,7.048487527,227474529297,4100000
qwen-coder-1.5b,temperature,5,8.055970487,227498369934,4529306
qwen-coder-1.5b,temperature,5,9.063216878,227516069473,400000
qwen-coder-1.5b,temperature,5,10.072702865,227530654519,3400000
qwen-coder-1.5b,temperature,5,11.083136197,227545184816,3400593
qwen-coder-1.5b,temperature,5,12.092944546,227559739100,3400436
qwen-coder-1.5b,temperature,5,13.102608694,227574446765,3399965
qwen-coder-1.5b,temperature,5,14.111999511,227589118603,3501369
qwen-coder-1.5b,temperature,5,15.121062517,227603955235,3400000
qwen-coder-1.5b,temperature,5,16.130389207,227618812130,2930029
qwen-coder-1.5b,top_p,1,.000845355,227658993485,400000
qwen-coder-1.5b,top_p,1,1.007075347,227676806000,400000
qwen-coder-1.5b,top_p,1,2.014017016,227704175010,4100000
qwen-coder-1.5b,top_p,1,3.021011090,227732015271,4100000
qwen-coder-1.5b,top_p,1,4.027738090,227760017274,4107154
qwen-coder-1.5b,top_p,1,5.034596743,227788553883,4099958
qwen-coder-1.5b,top_p,1,6.041855960,227816775491,4100000
qwen-coder-1.5b,top_p,1,7.048495778,227841023720,4099958
qwen-coder-1.5b,top_p,1,8.055855890,227864005350,3535363
qwen-coder-1.5b,top_p,1,9.065100464,227878640139,3400036
qwen-coder-1.5b,top_p,1,10.074495946,227893122341,3400000
qwen-coder-1.5b,top_p,1,11.084115354,227907626271,3499959
qwen-coder-1.5b,top_p,1,12.093925643,227922356458,3500039
qwen-coder-1.5b,top_p,1,13.103091172,227937024267,3500000
qwen-coder-1.5b,top_p,1,14.111922870,227951727965,3499721
qwen-coder-1.5b,top_p,1,15.120965878,227966549094,3492407
qwen-coder-1.5b,top_p,1,16.130276467,227981403670,3499962
qwen-coder-1.5b,top_p,1,17.138870999,227996334601,400000
qwen-coder-1.5b,top_p,1,18.148116923,228011266326,3500000
qwen-coder-1.5b,top_p,1,19.158401316,228026284720,3395284
qwen-coder-1.5b,top_p,1,20.167936532,228041214003,3500000
qwen-coder-1.5b,top_p,2,.000880896,228080850559,400000
qwen-coder-1.5b,top_p,2,1.007157295,228098794788,400000
