model,run,elapsed_s,energy_uj,cpu_freq_khz
llama-3b,1,.000805217,142015183010,400000
llama-3b,1,1.006721418,142034587318,397584
llama-3b,1,2.013474529,142058175087,400000
llama-3b,1,3.020009096,142085411712,4099953
llama-3b,1,4.026908998,142108118990,4100000
llama-3b,1,5.033725253,142131323154,4100000
llama-3b,1,6.040496643,142154265722,4100000
llama-3b,1,7.047079524,142177179787,4100000
llama-3b,1,8.053738264,142200137675,4100000
llama-3b,1,9.060357874,142223419537,4100000
llama-3b,1,10.067245781,142246857831,400000
llama-3b,1,11.074161670,142269898300,4100000
llama-3b,1,12.081168426,142293360459,4100000
llama-3b,1,13.087994989,142317132005,4100000
llama-3b,1,14.095122344,142341150010,4100000
llama-3b,1,15.102092212,142364894456,4100000
llama-3b,1,16.108984667,142388722214,4100298
llama-3b,1,17.116099578,142412074816,4100000
llama-3b,1,18.123158613,142435307911,400000
llama-3b,1,19.130452381,142459799242,4100000
llama-3b,1,20.137150632,142483726610,4700000
llama-3b,1,21.143956043,142507873582,4060161
llama-3b,1,22.150690930,142531382311,4100000
llama-3b,1,23.157610094,142554371449,4100000
llama-3b,1,24.165108862,142577443777,400000
llama-3b,1,25.172920591,142600525932,4100000
llama-3b,1,26.179796249,142623327632,4100041
llama-3b,1,27.186962068,142646173154,4097683
llama-3b,1,28.193568349,142669358947,4130800
llama-3b,1,29.200441477,142692421693,4100000
llama-3b,1,30.207335290,142715419071,4100000
llama-3b,1,31.213962329,142738430242,4109601
llama-3b,1,32.220685740,142761772041,4100000
llama-3b,1,33.227550025,142784801218,4293020
llama-3b,1,34.234375204,142807967845,4090617
llama-3b,1,35.241361354,142830897779,4100000
llama-3b,1,36.248504873,142854271987,4100000
llama-3b,1,37.255555298,142877887222,4100000
