model,sweep_type,input_tokens_requested,output_tokens_requested,run,elapsed_s,energy_uj,cpu_freq_khz
llama-1b,input_sweep,128,64,1,.000810897,95199724305,400000
llama-1b,input_sweep,128,64,1,1.006697219,95218093826,400000
llama-1b,input_sweep,128,64,1,2.012966808,95246291874,4100000
llama-1b,input_sweep,128,64,1,3.019567484,95270239078,4100000
llama-1b,input_sweep,128,64,1,4.026901504,95294038395,4100000
llama-1b,output_sweep,512,8,1,.000841143,95337967543,1806520
llama-1b,output_sweep,512,8,1,1.007319693,95355504851,400000
llama-1b,output_sweep,512,8,1,2.014148461,95383253926,4100041
llama-1b,output_sweep,512,8,1,3.020819660,95411483529,4100041
llama-1b,output_sweep,512,8,1,4.027732147,95439290586,4100000
llama-1b,output_sweep,512,8,1,5.034548378,95466438527,4099958
