model,sweep_type,input_tokens_requested,output_tokens_requested,run,elapsed_s,energy_uj,cpu_freq_khz
llama-3b,input_sweep,128,64,1,.000803771,167751108703,400000
llama-3b,input_sweep,128,64,1,1.006542661,167771213509,400000
llama-3b,input_sweep,128,64,1,2.013254318,167790292318,4100000
llama-3b,input_sweep,128,64,1,3.019746767,167818833444,567379
llama-3b,input_sweep,128,64,1,4.026421110,167847021909,3842443
llama-3b,input_sweep,128,64,1,5.032954411,167875520066,400000
llama-3b,input_sweep,128,64,1,6.039102335,167899914596,400000
llama-3b,input_sweep,128,64,1,7.046329855,167922723376,4100000
llama-3b,input_sweep,128,64,1,8.054003058,167946121326,4012173
llama-3b,input_sweep,128,64,1,9.061155194,167969315419,4100000
llama-3b,input_sweep,128,64,1,10.068475127,167986403816,3400171
llama-3b,input_sweep,128,64,1,11.078508948,168000848481,400000
llama-3b,input_sweep,128,64,2,.000834886,168031874891,474884
llama-3b,input_sweep,128,64,2,1.006849295,168051888816,4607098
llama-3b,input_sweep,128,64,2,2.013199646,168070700719,4099958
llama-3b,input_sweep,128,64,2,3.019808831,168099012414,3389429
llama-3b,input_sweep,128,64,2,4.026678096,168127166028,4100000
llama-3b,input_sweep,128,64,2,5.033248919,168155358339,4100000
llama-3b,input_sweep,128,64,2,6.039879368,168179943908,4100045
llama-3b,input_sweep,128,64,2,7.046879688,168202919313,4099954
llama-3b,input_sweep,128,64,2,8.054265178,168226070316,4099954
llama-3b,input_sweep,128,64,2,9.061275465,168249274114,4100000
llama-3b,input_sweep,128,64,2,10.068560115,168272261238,4041375
llama-3b,input_sweep,128,64,2,11.075782288,168295353647,400000
llama-3b,input_sweep,128,64,3,.000849984,168326551626,400000
llama-3b,input_sweep,128,64,3,1.007018581,168346668152,400060
llama-3b,input_sweep,128,64,3,2.014181776,168365865063,4100000
llama-3b,input_sweep,128,64,3,3.021511811,168394332337,4100000
llama-3b,input_sweep,128,64,3,4.028726305,168423591966,4100041
llama-3b,input_sweep,128,64,3,5.035512340,168452327916,4100041
llama-3b,input_sweep,128,64,3,6.042040442,168476520969,400000
llama-3b,input_sweep,128,64,3,7.049405994,168499492346,4100000
llama-3b,input_sweep,128,64,3,8.056706669,168522714149,4095992
llama-3b,input_sweep,128,64,3,9.064051460,168545732462,400000
llama-3b,input_sweep,128,64,3,10.071186224,168568735882,4102236
llama-3b,input_sweep,128,64,3,11.078076335,168591819563,4700000
llama-3b,input_sweep,128,64,4,.000846656,168618473120,1112404
llama-3b,input_sweep,128,64,4,1.007197991,168638236742,400000
llama-3b,input_sweep,128,64,4,2.013871203,168658434810,4100000
llama-3b,input_sweep,128,64,4,3.020763049,168686746871,4100000
llama-3b,input_sweep,128,64,4,4.027456111,168715056247,4099958
llama-3b,input_sweep,128,64,4,5.034409174,168743662131,4100000
llama-3b,input_sweep,128,64,4,6.041197084,168768362690,4700000
llama-3b,input_sweep,128,64,4,7.048082591,168791689230,4100000
llama-3b,input_sweep,128,64,4,8.055487742,168815773457,400000
llama-3b,input_sweep,128,64,4,9.062673458,168840150836,4100000
llama-3b,input_sweep,128,64,4,10.070280268,168863866108,4103934
llama-3b,input_sweep,128,64,4,11.077666511,168888066485,4100000
llama-3b,input_sweep,128,64,5,.000865534,168917100957,400000
llama-3b,input_sweep,128,64,5,1.006828181,168936443254,400000
llama-3b,input_sweep,128,64,5,2.013611332,168955976895,4100000
llama-3b,input_sweep,128,64,5,3.020774616,168985233534,4100000
llama-3b,input_sweep,128,64,5,4.027747964,169014614623,4099958
llama-3b,input_sweep,128,64,5,5.034571734,169043176684,4099958
llama-3b,input_sweep,128,64,5,6.041233998,169066744556,4100000
llama-3b,input_sweep,128,64,5,7.048327135,169089798086,400000
llama-3b,input_sweep,128,64,5,8.055332777,169112700065,4099458
llama-3b,input_sweep,128,64,5,9.062329506,169135506343,4100000
llama-3b,input_sweep,128,64,5,10.069532954,169158450498,400000
llama-3b,input_sweep,128,64,5,11.076939514,169181785094,4100000
llama-3b,input_sweep,256,64,1,.000905962,169215075414,400000
llama-3b,input_sweep,256,64,1,1.006859110,169234801315,799171
llama-3b,input_sweep,256,64,1,2.014036835,169254506099,4100000
llama-3b,input_sweep,256,64,1,3.020768357,169282690292,4100000
llama-3b,input_sweep,256,64,1,4.027448962,169311332064,4100000
llama-3b,input_sweep,256,64,1,5.034229543,169340110799,4100000
llama-3b,input_sweep,256,64,1,6.040711395,169368756112,4100000
llama-3b,input_sweep,256,64,1,7.047000272,169397468074,4100000
llama-3b,input_sweep,256,64,1,8.053993626,169424087452,4100000
llama-3b,input_sweep,256,64,1,9.061555623,169446991263,3925877
llama-3b,input_sweep,256,64,1,10.068859526,169470248467,682649
llama-3b,input_sweep,256,64,1,11.075484029,169493269160,4201217
llama-3b,input_sweep,256,64,1,12.082673996,169516227109,4099954
llama-3b,input_sweep,256,64,1,13.090017831,169539058532,4100048
llama-3b,input_sweep,256,64,2,.000857400,169583331490,400000
llama-3b,input_sweep,256,64,2,1.006894446,169603458758,777571
llama-3b,input_sweep,256,64,2,2.013434918,169627614214,4099958
llama-3b,input_sweep,256,64,2,3.020414214,169656196904,4100000
llama-3b,input_sweep,256,64,2,4.027277480,169684121454,400000
llama-3b,input_sweep,256,64,2,5.034053926,169712455732,400000
llama-3b,input_sweep,256,64,2,6.040967264,169741072602,400000
llama-3b,input_sweep,256,64,2,7.048064877,169769499898,400000
llama-3b,input_sweep,256,64,2,8.054723506,169795617873,4100000
llama-3b,input_sweep,256,64,2,9.062231416,169818479936,400000
llama-3b,input_sweep,256,64,2,10.069742686,169841698382,4099947
llama-3b,input_sweep,256,64,2,11.076977550,169865552203,4100000
llama-3b,input_sweep,256,64,2,12.083962433,169888830403,4099958
llama-3b,input_sweep,256,64,2,13.091230534,169913167865,4100000
llama-3b,input_sweep,256,64,3,.000888432,169949714585,400000
llama-3b,input_sweep,256,64,3,1.007052083,169969881831,400000
llama-3b,input_sweep,256,64,3,2.013893393,169989098213,4100000
llama-3b,input_sweep,256,64,3,3.020877977,170017646296,4099958
llama-3b,input_sweep,256,64,3,4.027706531,170046466901,4100000
llama-3b,input_sweep,256,64,3,5.034572607,170074902192,4104100
llama-3b,input_sweep,256,64,3,6.041566742,170103768512,4100000
llama-3b,input_sweep,256,64,3,7.048321643,170132662786,4100000
llama-3b,input_sweep,256,64,3,8.055400247,170159087829,4099954
llama-3b,input_sweep,256,64,3,9.062649071,170181872133,4100000
llama-3b,input_sweep,256,64,3,10.070126366,170204265691,4100000
llama-3b,input_sweep,256,64,3,11.077861220,170223685381,3299104
llama-3b,input_sweep,256,64,3,12.087162029,170238233744,3400035
llama-3b,input_sweep,256,64,3,13.097277599,170252845157,3500000
llama-3b,input_sweep,256,64,3,14.107134521,170267510036,3399962
llama-3b,input_sweep,256,64,4,.000884419,170299139838,400000
llama-3b,input_sweep,256,64,4,1.006799653,170318045918,400000
llama-3b,input_sweep,256,64,4,2.013565874,170338050932,4100000
llama-3b,input_sweep,256,64,4,3.020192359,170366337542,4100000
llama-3b,input_sweep,256,64,4,4.027381137,170394865484,4099958
llama-3b,input_sweep,256,64,4,5.034320612,170423134638,4100000
llama-3b,input_sweep,256,64,4,6.041550583,170451450117,4100000
llama-3b,input_sweep,256,64,4,7.048520010,170480207307,4100000
llama-3b,input_sweep,256,64,4,8.055984234,170504727325,400000
