model,strategy,run,elapsed_s,energy_uj,cpu_freq_khz
llama-3b,greedy,1,.000857444,150634509699,871707
llama-3b,greedy,1,1.006363021,150654228154,780800
llama-3b,greedy,1,2.012950728,150673225420,4100000
llama-3b,greedy,1,3.019411331,150701323249,4100041
llama-3b,greedy,1,4.025873191,150729700434,4636817
llama-3b,greedy,1,5.032750443,150757586593,4099958
llama-3b,greedy,1,6.038994607,150785809421,400000
llama-3b,greedy,1,7.045399757,150813491479,400000
llama-3b,greedy,1,8.051997504,150841702467,400000
llama-3b,greedy,1,9.058334935,150870067140,400000
llama-3b,greedy,1,10.064731124,150898550405,400000
llama-3b,greedy,1,11.071514448,150927084695,400000
llama-3b,greedy,1,12.078233952,150954985868,400000
llama-3b,greedy,1,13.085080409,150983719559,400000
llama-3b,greedy,1,14.091785141,151007028399,400000
llama-3b,greedy,1,15.098603753,151029780599,400000
llama-3b,greedy,1,16.105439631,151052552452,4100201
llama-3b,greedy,1,17.112446647,151075953271,4100000
llama-3b,greedy,1,18.119356441,151098823269,4100000
llama-3b,greedy,1,19.126340677,151121728178,399550
llama-3b,greedy,1,20.133579103,151143470310,4100000
llama-3b,greedy,1,21.140792949,151165347085,4100044
llama-3b,greedy,1,22.147779651,151187104842,4100045
llama-3b,greedy,1,23.154822593,151208787831,4100000
llama-3b,greedy,1,24.162197420,151224666513,3500000
llama-3b,greedy,1,25.171226278,151239281161,3354710
llama-3b,greedy,1,26.179976963,151253952876,3500035
llama-3b,greedy,1,27.189316378,151268430806,3321906
llama-3b,greedy,1,28.199134912,151283307537,3500000
llama-3b,greedy,1,29.207975002,151298010381,3382698
llama-3b,greedy,1,30.217049772,151312800016,3500000
llama-3b,greedy,1,31.226090673,151327739308,3500035
llama-3b,greedy,1,32.234994294,151342524549,3499960
llama-3b,greedy,1,33.243771824,151357344335,3599957
llama-3b,greedy,1,34.252710650,151372321897,3435782
llama-3b,greedy,1,35.261657752,151387231527,3500037
llama-3b,greedy,1,36.270419855,151402410443,3500035
llama-3b,greedy,1,37.279608286,151417231145,3498291
llama-3b,greedy,1,38.288952523,151432337857,3499955
llama-3b,greedy,1,39.297951354,151447360645,3500035
llama-3b,greedy,1,40.306861360,151462390331,986875
llama-3b,greedy,1,41.315891456,151477318210,3495418
llama-3b,greedy,1,42.324783790,151492453303,3500000
llama-3b,greedy,2,.000873627,151528076320,400000
llama-3b,greedy,2,1.006893844,151547403602,4700000
llama-3b,greedy,2,2.013559103,151566540577,400000
llama-3b,greedy,2,3.020408272,151594943153,400000
llama-3b,greedy,2,4.026956586,151623304165,4100000
llama-3b,greedy,2,5.033676415,151651613724,4098625
llama-3b,greedy,2,6.040354428,151680272097,400000
llama-3b,greedy,2,7.047179543,151708971426,400000
llama-3b,greedy,2,8.054102078,151737301187,4072218
llama-3b,greedy,2,9.061254722,151765648039,3544110
llama-3b,greedy,2,10.068182757,151794238297,400000
llama-3b,greedy,2,11.075103283,151822495122,3586721
llama-3b,greedy,2,12.081604739,151850574945,400000
llama-3b,greedy,2,13.088507411,151878685042,4096395
llama-3b,greedy,2,14.095346701,151902011764,4100000
llama-3b,greedy,2,15.102722995,151925083788,400000
llama-3b,greedy,2,16.110137865,151948736986,4100000
llama-3b,greedy,2,17.117444204,151972617662,4100000
llama-3b,greedy,2,18.124637057,151996043384,400000
llama-3b,greedy,2,19.133042716,152011472360,3500581
llama-3b,greedy,2,20.142195112,152025968661,3500000
llama-3b,greedy,2,21.151433355,152040589656,3500000
llama-3b,greedy,2,22.161101409,152055201680,3500000
llama-3b,greedy,2,23.170155484,152070143048,3500000
llama-3b,greedy,2,24.179385220,152084803838,3500037
llama-3b,greedy,2,25.188238580,152099580289,3563742
llama-3b,greedy,2,26.197196044,152114395498,400000
llama-3b,greedy,2,27.206550086,152129244520,3500000
llama-3b,greedy,2,28.215917804,152144385228,3501281
llama-3b,greedy,2,29.225295606,152159160337,3600000
llama-3b,greedy,2,30.234037096,152174217000,3494214
llama-3b,greedy,2,31.243156821,152189199078,3500000
llama-3b,greedy,2,32.252383991,152204217472,3500000
llama-3b,greedy,2,33.261545057,152219130459,3499760
llama-3b,greedy,2,34.270723884,152234209583,3502028
llama-3b,greedy,2,35.280140481,152249210582,3500000
llama-3b,greedy,2,36.289167588,152264303012,3503858
llama-3b,greedy,2,37.298267648,152279329219,3499573
llama-3b,greedy,2,38.307539395,152294469194,3500000
llama-3b,greedy,2,39.316620600,152309638772,3500039
llama-3b,greedy,2,40.326057563,152324649293,3499963
llama-3b,greedy,2,41.335458023,152339661767,3500199
llama-3b,greedy,2,42.344225930,152354904098,3500000
llama-3b,greedy,3,.000832657,152396381836,400000
llama-3b,greedy,3,1.006745620,152416324656,400233
llama-3b,greedy,3,2.013354249,152435593528,4100000
llama-3b,greedy,3,3.020397783,152464004344,4100041
llama-3b,greedy,3,4.027376859,152492173339,4100041
llama-3b,greedy,3,5.033997768,152520527148,4100000
llama-3b,greedy,3,6.040958747,152549077735,4100000
llama-3b,greedy,3,7.047954975,152577728784,4100000
llama-3b,greedy,3,8.054989005,152606340833,4100000
llama-3b,greedy,3,9.061898657,152634436586,4099958
llama-3b,greedy,3,10.068537290,152663248890,3291817
llama-3b,greedy,3,11.075111612,152691947669,400000
llama-3b,greedy,3,12.081620056,152720352504,400000
llama-3b,greedy,3,13.088183726,152748671340,400000
llama-3b,greedy,3,14.095578391,152771498247,4100666
llama-3b,greedy,3,15.102676993,152794458698,400000
llama-3b,greedy,3,16.109690086,152817306601,400000
llama-3b,greedy,3,17.117215585,152839080776,3800000
llama-3b,greedy,3,18.126371652,152854512316,400000
llama-3b,greedy,3,19.135765719,152868939526,2307563
llama-3b,greedy,3,20.145157908,152883606846,400000
llama-3b,greedy,3,21.154062842,152898298520,3599957
llama-3b,greedy,3,22.163224110,152913037618,3500000
llama-3b,greedy,3,23.172109233,152927844770,3600054
llama-3b,greedy,3,24.181245599,152942666754,3600040
llama-3b,greedy,3,25.190212728,152957581694,400000
llama-3b,greedy,3,26.199390860,152972445974,2672145
llama-3b,greedy,3,27.208751996,152987447157,3500620
llama-3b,greedy,3,28.218148565,153002321142,400000
llama-3b,greedy,3,29.227210698,153017369871,3210051
llama-3b,greedy,3,30.236761122,153032264120,3599955
llama-3b,greedy,3,31.245877255,153047323651,3583147
llama-3b,greedy,3,32.255225658,153062330937,400000
llama-3b,greedy,3,33.264206552,153077354214,400000
llama-3b,greedy,3,34.273209602,153092420643,3600000
llama-3b,greedy,3,35.282524272,153107503185,400000
llama-3b,greedy,3,36.291641388,153122555331,3600000
llama-3b,greedy,3,37.300827892,153137681574,3600000
llama-3b,greedy,3,38.310199781,153152724871,3417686
llama-3b,greedy,3,39.319206449,153167811868,3338148
llama-3b,greedy,3,40.328587060,153182981263,3310745
llama-3b,greedy,3,41.337676911,153198075341,3599963
llama-3b,greedy,3,42.346816834,153213174545,3500000
llama-3b,greedy,3,43.356331203,153228259040,3506903
llama-3b,greedy,4,.000890800,153267753629,675352
llama-3b,greedy,4,1.006508038,153287726845,845915
llama-3b,greedy,4,2.013591946,153307111072,4100000
